LotDescription,Parent#,Revenue,ParentID,LotID
CC18NV - Navy Coveralls,B005DDYVNQ,2330.2,71,222
CC18NV - Navy Coveralls,B005DDYVRW,1581.33,74,222
CC18NV - Navy Coveralls,B005DDYVOK,1580.61,72,222
CC18NV - Navy Coveralls,B005DDYVL8,1410.38,70,222
CC18NV - Navy Coveralls,B005DDYVQS,1295.91,73,222
CC18NV - Navy Coveralls,B005DDYVJU,1077.52,69,222
CC18NV - Navy Coveralls,B005DDYVHC,1031.23,68,222
CC18NV - Navy Coveralls,B005DDYC26,493.18,15,222
CC18NV - Navy Coveralls,B005DDYIU2,476.76,34,222
CC18NV - Navy Coveralls,B005DDYCRG,476.15,16,222
CC18NV - Navy Coveralls,B005DDYD48,451.56,18,222
CC18NV - Navy Coveralls,B005DDYVTU,448.56,75,222
CC18NV - Navy Coveralls,B005DDYVEA,411.71,67,222
CC18NV - Navy Coveralls,B005DDYJQ0,307.0,41,222
CC18NV - Navy Coveralls,B005DDYJJW,290.65,39,222
CC18NV - Navy Coveralls,B005DDYCY4,275.48,17,222
CC18NV - Navy Coveralls,B005DDYJ1K,259.82,36,222
CC18NV - Navy Coveralls,B013Q80EM6,188.0,664,222
CC18NV - Navy Coveralls,B005DDYJ7E,165.82,37,222
CC18NV - Navy Coveralls,B005DDYJAG,81.8,38,222
CC18NV - Navy Coveralls,B005DDYIYS,74.98,35,222
CC18NV - Navy Coveralls,B005DDYJO2,59.11,40,222
QT11 - Charcoal Tops and Sweaters,B017IA6NPK,2326.6600000000003,670,586
QT11 - Red Tops and Sweaters,B017IA6NPK,1763.0,670,588
QT11 - Black Tops and Sweaters,B017IA6NPK,1130.39,670,584
QT11 - Dark Blue Tops and Sweaters,B017IA6NPK,1002.28,670,587
QT11 - Blue Tops and Sweaters,B017IA6NPK,467.57,670,585
QT11 - Tan Tops and Sweaters,B017IA6NPK,378.48,670,589
PT4C - Charcoal Shorts,B00O4UZ4XA,2282.06,414,533
PT4C - Black Shorts,B00O4UZ4XA,1694.58,414,532
PT4C - Navy Shorts,B00O4UZ4XA,1405.65,414,535
PT4C - Khaki Shorts,B00O4UZ4XA,1253.5900000000001,414,534
SS24YE - Fluorescent Yellow/Green Woven Shirts,B00O973I40,2276.61,592,1029
SS24YE - Fluorescent Yellow/Green Woven Shirts,B007GBXC56,159.97,196,1029
SS24YE - Fluorescent Yellow/Green Woven Shirts,B007GBXB84,128.99,194,1029
SS24YE - Fluorescent Yellow/Green Woven Shirts,B007GBX7WY,29.15,191,1029
SS24YE - Fluorescent Yellow/Green Woven Shirts,B007GBX8BE,17.65,192,1029
SS24OR - Fluorescent Orange Woven Shirts,B00O973I40,2028.6,592,1028
SS24OR - Fluorescent Orange Woven Shirts,B00O971WA2,763.0500000000001,506,1028
TT34 - Black Accessories,B00O7TTT98,2224.83,472,1089
TT34 - White Accessories,B00O7TTT98,483.99,472,1090
HMC2BK RG M - Black Flame Resistant Tops,B00CC3MR4A,2179.13,273,295
SP14 - Grey/blue Stripe Woven Shirts,B00O972ZA8,2136.94,560,848
SP14 - Navy/Khaki Stripe Woven Shirts,B00O972ZA8,768.16,560,860
SP14 - Navy/Red Stripe Woven Shirts,B00O972ZA8,684.4,560,862
SP14 - Charcoal/red/white Stripe Woven Shirts,B00O972ZA8,533.44,560,841
KK28 - Electronic Blue Outerwear,B00O97298G,2094.3,521,353
KK28 - White Outerwear,B00O97298G,1028.04,521,354
KS58 - White Outerwear,B00O972E0O,2077.6800000000003,535,380
WP10 - Navy Outerwear,B00O973OVM,2076.62,601,1101
WP10 - Royal Blue Outerwear,B00O973OVM,1274.12,601,1103
